playerID,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,errorsPerYear,outsPerYear,yearsplayed,assistsPerYear,AVGAtBats,AVGHits
ariasge01,190.0,71.0,24.08,3.25,27.33,0,0.237,3.5,16.333,6.0,53.5,80.0,80.0
ariasjo01,185.0,73.0,22.0,8.83,30.83,0,0.267,1.038,18.346,26.0,22.423,40.15,40.15
arletbu01,225.0,75.0,32.25,0.42,32.67,0,0.313,6.5,151.5,2.0,10.5,209.0,209.0
armasma01,190.0,77.0,23.75,0.33,24.08,0,0.0,0.0,38.5,2.0,2.0,15.5,15.5
armasto01,182.0,71.0,23.17,13.08,36.25,4,0.252,3.812,193.438,16.0,4.938,322.75,322.75
armbrch01,180.0,69.0,24.92,2.17,27.08,0,0.151,7.2,102.6,5.0,33.4,70.4,70.4
armbred01,160.0,71.0,25.08,4.17,29.25,0,0.245,1.6,18.2,5.0,1.6,53.0,53.0
armbrha01,190.0,70.0,24.08,0.5,24.58,0,0.238,4.0,124.0,1.0,9.0,265.0,265.0
armstbo01,160.0,74.0,20.92,0.17,21.08,0,0.0,7.0,29.0,1.0,2.0,49.0,49.0
armstge01,190.0,70.0,21.83,0.17,22.0,0,0.0,0.0,4.0,1.0,1.0,6.0,6.0
arndtla01,195.0,73.0,26.33,0.0,26.33,0,0.0,0.0,4.0,2.0,1.0,3.0,3.0
arnolch01,160.0,70.0,23.83,5.08,28.92,0,0.237,0.688,8.75,16.0,11.875,27.19,27.19
arnovmo01,168.0,70.0,25.83,9.58,35.42,0,0.287,3.125,157.5,8.0,6.5,251.25,251.25
arozara01,185.0,71.0,24.5,1.08,25.58,0,0.0,0.0,11.0,1.0,1.0,20.0,20.0
arraelu01,175.0,70.0,22.08,1.33,23.42,0,0.334,1.25,25.25,4.0,30.25,81.5,81.5
arroych01,210.0,73.0,21.92,3.42,25.33,0,0.215,0.857,7.714,7.0,17.429,32.57,32.57
arrueer01,230.0,73.0,24.17,0.33,24.5,0,0.0,3.0,14.0,1.0,26.0,41.0,41.0
arundtu01,175.0,70.0,19.92,6.33,26.25,0,0.176,10.167,56.5,6.0,18.333,42.5,42.5
asadora01,185.0,73.0,23.92,0.08,24.0,0,0.0,2.5,6.0,2.0,15.5,27.5,27.5
asbelji01,195.0,72.0,23.92,0.42,24.33,0,0.0,0.0,14.0,1.0,1.0,33.0,33.0
asbjoca01,196.0,73.0,19.25,3.92,23.17,0,0.235,2.0,39.0,4.0,9.0,55.25,55.25
ascheco01,205.0,73.0,23.08,3.83,26.92,0,0.234,4.0,43.125,8.0,49.5,154.75,154.75
