playerID,birthYear,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,totalAtBats,totalHits,Value Counts
birdgr01,1992.0,220.0,76.0,22.75,3.67,26.42,0,0.211,611.0,129.0,16
birdsda01,1838.0,126.0,69.0,32.83,2.0,34.83,0,0.264,239.0,63.0,16
birmijo01,1884.0,185.0,70.0,21.75,7.83,29.58,0,0.253,2633.0,667.0,16
bischjo01,1894.0,165.0,67.0,30.5,1.42,31.92,0,0.262,271.0,71.0,11
bishobr01,1993.0,178.0,73.0,25.58,1.5,27.08,0,0.107,56.0,6.0,16
bishoma01,1899.0,165.0,68.0,24.58,11.42,36.0,0,0.271,4494.0,1216.0,11
bishomi01,1958.0,188.0,74.0,24.42,0.0,24.42,0,0.125,8.0,1.0,16
bislari01,1890.0,155.0,69.0,22.58,1.75,24.33,0,0.119,101.0,12.0,11
bissode01,1899.0,180.0,71.0,28.58,5.17,33.75,0,0.305,2291.0,699.0,11
bittmre01,1862.0,180.0,69.0,27.25,0.0,27.25,0,0.286,14.0,4.0,16
bixlebr01,1982.0,195.0,73.0,25.5,4.25,29.75,0,0.189,323.0,61.0,16
bjorkge01,1956.0,190.0,74.0,26.92,0.25,27.17,0,0.227,75.0,17.0,16
blackbi01,1899.0,168.0,71.0,24.75,0.0,24.75,0,0.2,5.0,1.0,11
blackch02,1986.0,221.0,75.0,24.92,9.25,34.17,3,0.304,4092.0,1244.0,16
blackea01,1892.0,180.0,71.0,19.83,4.83,24.67,0,0.266,143.0,38.0,11
blacket01,1940.0,190.0,71.0,22.17,2.08,24.25,0,0.12,25.0,3.0,16
blackfr01,1891.0,160.0,70.0,26.0,2.0,28.0,0,0.205,88.0,18.0,11
blackge02,1903.0,176.0,73.0,24.75,0.08,24.83,0,0.253,83.0,21.0,11
blackjo01,1890.0,185.0,73.0,21.33,0.25,21.58,0,0.151,186.0,28.0,11
blackti01,1952.0,170.0,71.0,21.92,8.83,30.75,0,0.228,1044.0,238.0,16
bladera01,1896.0,163.0,67.0,26.0,10.08,36.08,0,0.301,2415.0,726.0,11
bladtri01,1946.0,160.0,73.0,22.5,6.25,28.75,0,0.215,130.0,28.0,16
blaemra01,1911.0,178.0,72.0,30.58,0.0,30.58,0,0.4,5.0,2.0,11
blairbu01,1910.0,186.0,72.0,31.58,0.42,32.0,0,0.279,484.0,135.0,11
blairca01,1989.0,210.0,74.0,25.92,0.0,25.92,0,0.129,31.0,4.0,16
blairfo01,1900.0,180.0,73.0,28.75,2.42,31.17,0,0.273,890.0,243.0,11
