playerID,birthYear,weight,height,startingAge,awards,hasntBatted,doublePlays,InnOuts,ERA,stikeOutAVG,errorAVG,assistAVG,DoublePlayAVG,BattersAVG,WinsAVG
kinger01,1964.0,180.0,74.0,22.08,0,1.0,8.0,203.0,3.972,4.785,0.104,1.032,0.083,38.446,0.542
kinghni01,1991.0,235.0,77.0,26.42,0,0.0,1.0,43.0,6.084,7.861,0.342,0.615,0.068,41.081,0.615
kingke01,1969.0,170.0,76.0,24.58,0,1.0,0.0,34.0,7.337,4.989,0.587,1.174,0.0,44.022,0.0
kingmbr01,1954.0,200.0,74.0,24.92,0,1.0,2.0,94.0,4.127,4.454,0.131,0.783,0.033,39.17,0.375
kingne01,1928.0,185.0,78.0,26.08,0,1.0,2.0,95.0,3.583,3.738,0.0,1.038,0.104,38.319,0.363
kingra01,1974.0,225.0,73.0,25.33,0,1.0,3.0,593.0,3.46,6.088,0.175,1.642,0.066,38.255,0.438
kingsi01,1868.0,170.0,72.0,18.67,0,0.0,23.0,424.0,3.18,3.458,0.192,1.805,0.065,38.683,0.574
kinlety01,1991.0,220.0,76.0,27.25,0,1.0,0.0,65.0,5.221,8.801,0.149,1.193,0.0,41.47,0.448
kinnede01,1952.0,175.0,73.0,26.17,0,0.0,1.0,97.0,4.549,4.374,0.117,1.166,0.058,39.421,0.233
kinnejo01,1979.0,220.0,72.0,27.33,0,1.0,2.0,93.0,4.732,8.722,0.093,1.206,0.186,39.155,0.093
kinnema01,1976.0,220.0,77.0,23.67,0,0.0,5.0,103.0,5.289,6.86,0.046,0.901,0.115,40.719,0.439
kinnumi01,1958.0,185.0,73.0,22.17,0,1.0,0.0,48.0,5.226,4.006,0.0,1.219,0.0,41.806,0.0
kinseed01,1880.0,175.0,73.0,25.67,0,0.0,2.0,13.0,3.493,2.821,0.403,3.09,0.269,37.612,0.134
kintzbr01,1984.0,200.0,70.0,26.08,0,1.0,9.0,430.0,3.372,6.342,0.0,1.739,0.191,37.075,0.424
kippebo01,1964.0,200.0,74.0,20.75,0,0.0,4.0,271.0,4.34,5.909,0.096,1.313,0.064,38.53,0.432
kippeth01,1928.0,190.0,75.0,24.75,0,0.0,0.0,35.0,5.273,3.182,0.0,0.818,0.0,41.455,0.273
kippfr01,1931.0,200.0,76.0,25.92,0,0.0,0.0,47.0,5.082,5.082,0.0,1.747,0.0,38.991,0.476
kirbycl01,1948.0,175.0,75.0,20.83,0,0.0,12.0,261.0,3.837,6.169,0.169,1.0,0.07,38.849,0.436
kirbyjo01,1865.0,172.0,68.0,19.58,0,0.0,3.0,82.0,4.093,2.944,0.353,1.737,0.044,40.044,0.265
kirkmmi01,1986.0,215.0,76.0,23.92,0,1.0,0.0,96.0,5.284,8.587,0.0,0.661,0.0,40.706,0.165
kirkwdo01,1949.0,175.0,75.0,25.0,0,1.0,5.0,120.0,4.372,4.66,0.216,1.537,0.12,38.794,0.432
kisinru01,1876.0,190.0,72.0,25.75,0,0.0,0.0,21.0,3.0,2.222,0.167,3.111,0.0,37.389,0.5
